################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4832929514637786E-02 a       147     0     6     1    22
 -1.1094775206707569E-01 a       148     0     6     1    23
  2.5877048392981367E-01 a       149     0     6     1    24
 -2.3220415694632182E-01 a       150     0     6     1    25
  3.4601211250462144E-01 a       151     0     7     1     1
 -1.3709860076897168E-01 a       152     0     7     1     2
  2.2844730057939316E-01 a       153     0     7     1     3
  6.2083260896783433E-02 a       154     0     7     1     4
 -1.0163736646519925E-01 a       155     0     7     1     5
 -1.1983267900871196E-01 a       156     0     7     1     6
 -7.0026014105693632E-02 a       157     0     7     1     7
 -3.1727654672948247E-02 a       158     0     7     1     8
 -2.4158707660994291E-01 a       159     0     7     1     9
 -7.1431369496182409E-02 a       160     0     7     1    10
 -1.6037819320081334E-01 a       161     0     7     1    11
 -1.2738587537257615E-01 a       162     0     7     1    12
  1.1511744008790867E-01 a       163     0     7     1    13
 -3.3605353747528133E-01 a       164     0     7     1    14
 -1.1997534829881434E-01 a       165     0     7     1    15
 -4.9219612662479859E-02 a       166     0     7     1    16
  1.8200221679525938E-02 a       167     0     7     1    17
 -1.1529917534376667E-01 a       168     0     7     1    18
  2.9039254312936441E-01 a       169     0     7     1    19
 -6.5210149840244064E-02 a       170     0     7     1    20
  2.9526031592202773E-01 a       171     0     7     1    21
  1.2921522503554561E-01 a       172     0     7     1    22
 -1.3635882121044982E-01 a       173     0     7     1    23
  2.3344837304528715E-01 a       174     0     7     1    24
 -1.1490624638353561E-01 a       175     0     7     1    25
  1.9204474316320283E-01 a       176     0     8     1     1
 -1.1131498275371074E-01 a       177     0     8     1     2
 -5.2662963261745979E-02 a       178     0     8     1     3
 -3.5526283436564533E-02 a       179     0     8     1     4
 -1.4697209323002558E-01 a       180     0     8     1     5
  1.9978340223410496E-03 a       181     0     8     1     6
  3.5250342221177094E-02 a       182     0     8     1     7
  2.2956669234619767E-01 a       183     0     8     1     8
  2.5821385410329804E-02 a       184     0     8     1     9
  1.4510994590331169E-01 a       185     0     8     1    10
  8.4336317380294748E-02 a       186     0     8     1    11
 -1.2482124567644639E-02 a       187     0     8     1    12
  3.8074874489900670E-02 a       188     0     8     1    13
 -2.5331676861064062E-01 a       189     0     8     1    14
 -1.8905768727503028E-01 a       190     0     8     1    15
  2.0866902316438937E-01 a       191     0     8     1    16
 -2.3935453304829349E-01 a       192     0     8     1    17
  1.5429215703759069E-01 a       193     0     8     1    18
 -3.2354552822506218E-02 a       194     0     8     1    19
  3.5161918431318384E-02 a       195     0     8     1    20
 -2.3143551376502178E-03 a       196     0     8     1    21
  3.0146397813940432E-03 a       197     0     8     1    22
 -1.3311287073005823E-01 a       198     0     8     1    23
  1.6500582157751933E-01 a       199     0     8     1    24
 -2.3009245537057632E-01 a       200     0     8     1    25
  1.0445822445742109E-01 a       201     0     9     1     1
  3.5032214624702414E-02 a       202     0     9     1     2
  8.8356219420554827E-02 a       203     0     9     1     3
  2.6707137144599765E-02 a       204     0     9     1     4
  1.4797960804728280E-01 a       205     0     9     1     5
 -1.8819852604900308E-01 a       206     0     9     1     6
 -2.9879530155059075E-01 a       207     0     9     1     7
  8.2050417069660833E-02 a       208     0     9     1     8
  1.3902922827236019E-01 a       209     0     9     1     9
 -1.5710453795924353E-02 a       210     0     9     1    10
 -6.0462363242951581E-02 a       211     0     9     1    11
  1.3685536072088794E-01 a       212     0     9     1    12
 -2.0963605710732397E-01 a       213     0     9     1    13
 -4.0474178046634746E-01 a       214     0     9     1    14
  1.3469589123527495E-01 a       215     0     9     1    15
  1.6619627216152572E-01 a       216     0     9     1    16
  4.7707042724524570E-02 a       217     0     9     1    17
 -3.8817528149662640E-02 a       218     0     9     1    18
  7.5662066536323319E-02 a       219     0     9     1    19
  4.0107589640062120E-02 a       220     0     9     1    20
 -5.6379778844492710E-02 a       221     0     9     1    21
  2.7824038529332096E-01 a       222     0     9     1    22
 -1.3575033511422860E-01 a       223     0     9     1    23
 -4.5767989735215009E-02 a       224     0     9     1    24
  4.4369296402077561E-02 a       225     0     9     1    25
 -2.1147104722357787E-01 a       226     0    10     1     1
 -3.0111108033535972E-01 a       227     0    10     1     2
  1.6882528919581838E-01 a       228     0    10     1     3
  4.1485431718900186E-02 a       229     0    10     1     4
 -1.5724693424397909E-01 a       230     0    10     1     5
 -1.6528912741000390E-01 a       231     0    10     1     6
  1.5990532039828065E-01 a       232     0    10     1     7
  9.7594067883145730E-02 a       233     0    10     1     8
 -1.3008656131381177E-01 a       234     0    10     1     9
 -2.6602961089210042E-01 a       235     0    10     1    10
  4.2511639646458738E-02 a       236     0    10     1    11
  1.2008941747776042E-01 a       237     0    10     1    12
  2.4784214263489654E-01 a       238     0    10     1    13
  7.0402220959861248E-02 a       239     0    10     1    14
 -1.7588386680731397E-01 a       240     0    10     1    15
  8.0383625921561785E-02 a       241     0    10     1    16
  8.5199283746008783E-02 a       242     0    10     1    17
