################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         66   0.0000000000000000E+00   1.3783816568338981E-02   7.9034766077658845E-05   2.2095116419817922E-04
         1         67   0.0000000000000000E+00   1.5432812819605724E-02   7.6451062055158097E-04   1.7880520783006395E-03
         1         68   0.0000000000000000E+00   2.9989319309553915E-04   9.4375351378843034E-07   4.9648671583036725E-06
         1         69   0.0000000000000000E+00   8.2766627885904373E-04   4.6749120877415793E-06   2.2059974406218317E-05
         1         70   0.0000000000000000E+00   2.3472643319640704E-04   6.0490659732682631E-07   4.7449543023955906E-06
         1         71   1.8754737284558728E-03   8.0766864027930291E-02   3.2968404320709542E-02   9.3215903780673182E-03
         1         72   3.4248441769477285E-02   1.8985742443613185E-01   1.0596374662037812E-01   2.1528342633963211E-02
         1         73   0.0000000000000000E+00   1.1168952808801508E-02   8.1430149971310685E-04   1.0951109356703262E-03
         1         74   0.0000000000000000E+00   1.4417854639101170E-02   1.7404039091102523E-03   2.2690932609423994E-03
         1         75   2.7654458361332009E-04   1.3326270556786271E-02   5.6181660099135734E-03   1.7063393181658136E-03
         1         76   0.0000000000000000E+00   1.5364423541885750E-02   1.4668549234199302E-03   2.2439617408060494E-03
         1         77   0.0000000000000000E+00   4.2811610655429872E-03   3.3474718488311363E-04   3.9524388193985999E-04
         1         78   0.0000000000000000E+00   4.5298930338688961E-04   5.8640212592730854E-06   2.5203417695240198E-05
         1         79   0.0000000000000000E+00   2.7488232483885524E-03   5.6009934167140051E-05   1.6524502486855116E-04
         1         80   0.0000000000000000E+00   2.9741528335490382E-04   1.5395783452590919E-06   1.0720453073220079E-05
         2          1   1.5401585253094571E-01   4.4133633469913180E-01   3.1004910285169163E-01   1.4648769775597875E-02
         2          2   5.6886328173614069E-08   1.8106134096112446E-03   1.5287129706315520E-04   1.0990941393437955E-04
         2          3   0.0000000000000000E+00   8.1642048808953527E-03   1.3313974802415409E-04   3.3431605717908035E-04
         2          4   0.0000000000000000E+00   2.7695930875470221E-04   1.5758246601522337E-06   5.6057457801293962E-06
         2          5   3.9017960950492458E-01   9.4494467704246510E-01   7.1570934676486830E-01   5.0348668223292550E-02
         2          6   7.9478843334650723E-06   2.8711871303012428E-02   4.6137818585750825E-03   2.6166222035764802E-03
         2          7   0.0000000000000000E+00   6.4933396283881950E-02   2.3406976652822816E-03   5.0856865258621011E-03
         2          8   0.0000000000000000E+00   5.8909030512480200E-03   7.4465983323832786E-05   1.9538745405851279E-04
