# revision runtime_errors wrong_results new_inputs memory_leaks
13015 0 0 0 0
13016 0 0 0 0
13017 0 0 0 0
13018 0 0 0 0
13019 0 0 0 0
13020 0 0 0 0
13021 0 0 0 0
13022 0 0 0 0
13023 0 0 0 0
13026 0 0 0 0
13027 0 0 0 0
13030 0 0 0 0
13031 0 0 4 0
13032 0 0 0 0
13033 0 0 0 0
13034 0 0 1 0
13035 0 0 0 0
13036 0 0 0 0
13038 0 2 0 0
13039 0 2 6 0
13044 40 6 0 40
13045 40 4 2 40
13047 40 4 0 40
13048 40 4 0 40
13049 0 1 0 0
13050 0 0 2 0
13051 0 0 0 0
13052 0 0 1 0
13053 0 0 0 0 
13054 0 0 0 0 
13055 0 0 0 0
13056 0 0 0 0 
13058 0 0 0 0
13060 40 40 0 0
13065 40 40 0 0
13068 40 40 0 0
13069 40 40 0 0
13070 40 40 0 0
13073 40 0 40 0
13078 40 0 40 0
13078 0 0 0 0
13081 0 0 0 0
13083 0 0 0 0
13084 0 0 0 0
13087 0 0 40 0
13087 0 0 0 0
13088 0 0 0 0
13089 0 0 0 0
13091 0 0 0 0
13092 0 0 0 0
13093 0 0 0 0
13095 0 0 0 0
13096 0 0 0 0
13097 0 0 0 0
13098 0 0 0 0
13099 0 0 1 0
13101 0 0 0 0
13102 0 0 40 0
13104 0 0 40 0
13106 0 0 40 0
13113 0 0 40 0
13114 0 0 0 0
13115 0 0 2 0
